Corrosion,腐蚀,腐食
Stress Corrosion Cracking,应力腐蚀断裂,応力腐食割れ
Electrochemical reaction,电化学反应,電気化学反応
extractive metallurgy,萃取冶金,生産冶金
electronic charge,电荷,電荷
zinc chloride,氯化锌,塩化亜鉛
hydrochloric,盐酸,塩酸
anodic,阳极,アノード
oxidation reaction,氧化反应,酸化反応
cathodic,阴极,カソード
reduction reaction,还原反应,還元反応
Faraday's Law,法拉第电磁感应定律,ファラデーの法則
electrochemical equivalent,电化学当量,電気化学当量
atomic weight,原子质量,原子量
equivalent,当量,当量
Faraday's constant,法拉第常数,ファラデー定数
Coulomb,库仑,クーロン
corrosion rate,腐蚀速率,腐食速度
reaction rate,反应速度,反応速度
aqueous corrosion,水溶液腐蚀,水性の腐食
thermodynamics,热力学,熱力学
potential-PH,电位－pH,電位ーpH図
Pourbaix diagram,普尔贝图,プールベダイアグラム（プールベイ図）
kinetics of corrosion,腐蚀动力学,腐食の速度論
passivity,钝化,不働態化
crevice corrosion,缝隙腐蚀,すきま腐食
irradiation accelerated corrosion,辐照加速腐蚀,照射加速腐食
irradiation-assisted stress corrosion cracking,辐照诱发应力腐蚀断裂,照射誘起応力腐食割れ
electrolyte,电解质,電解質
uniform corrosion,均匀腐蚀,全面腐食 (均一腐食）
pitting,点蚀,孔食
intergranular attack,晶间损伤,粒界腐食
selective leaching,选择性浸析,選択的浸出
dealloying,脱合金化,脱合金
erosion corrosion,冲蚀,浸食腐食
hydrogen damage,氢致损伤,水素損傷
thinning rate,减薄速率,減面率
mass loss,质量损失,"質量損失"
microscopic,微观,微視的
attack,损伤,損傷
localized corrosion,局部腐蚀,局部腐食
shielded areas,被遮盖区域,遮蔽領域
stagnant solution,静止溶液,stagnant 溶液
Environmentally Induced Cracking,环境诱发断裂,環境助長割れ
Stress Corrosion,应力腐蚀,応力腐食
Corrosion Fatigue,腐蚀疲劳,腐食疲労
Hydrogen-induced cracking,氢致断裂,水素誘起割れ
